"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
101,"Utility of Abdominal Ultrasound in the Evaluation of Children With Blunt Trauma","Completed","No Results Available","Abdominal Injuries","Procedure: Abdominal Ultrasound (FAST examination)","UC Davis Medical Center, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT01540318"
102,"Activated Carbon Interphase Effect on Surgical Incisions vs.Two Common Wound Dressings","Recruiting","No Results Available","Surgical Wound, Healed","Device: Activated Carbon Cloth Dressing|Device: Knitted Cellulose Acetate Mesh|Device: Antimicrobial Alginate Dressing with Silver","Circleville Foot & Ankle, LLC, Circleville, Ohio, United States|Hocking Valley Community Hospital, Logan, Ohio, United States","https://ClinicalTrials.gov/show/NCT04038671"
103,"MEDIHONEY® Gel Versus Collagenase for Wound Debridement","Terminated","No Results Available","Ulcer|Wounds","Device: Active Leptospermum Honey (Medihoney)|Drug: Collagenase","Innovative Healing Systems, Tampa, Florida, United States","https://ClinicalTrials.gov/show/NCT02482948"
104,"Amnion Wound Covering for Enhanced Wound Healing","Not yet recruiting","No Results Available","Burns|Wound of Skin|Skin Wound","Drug: Amnion Membrane Powder|Procedure: SOC Wound Covering","Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03754218"
105,"Blunt Needles do Not Reduce Needlestick Injuries to Doctors During Suturing After Child-Birth","Completed","No Results Available","Needlestick Injuries","Device: Blunt needle","Medical University of South Carolina, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT00536289"
106,"Next Science Wound Gel Efficacy in Chronic Wound Versus Standard of Care","Completed","No Results Available","Wound Chronic Draining","Device: Next Science Wound Gel|Drug: Triple Antibiotic Ointment Neosporin","Mayo Clinic Florida, Jacksonville, Florida, United States|Jacksonville Center for Clinical Research - RCCR location, Jacksonville, Florida, United States","https://ClinicalTrials.gov/show/NCT02138994"
107,"The Molecular Anatomy of Oral Wound Healing","Completed","No Results Available","Wounds and Injuries|Wound Healing|Ulcer",,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01078467"
108,"Prophylactic Application of an Incisional Wound Vac to Prevent Wound Complications in Obese Spine Surgery Patients","Recruiting","No Results Available","Spine Surgery|Wounds Vac","Device: Wound Vac|Other: Standard Dressing","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT02926924"
109,"Silver Impregnated Dressings to Reduce Wound Complications in Obese Patients at Cesarean Section","Terminated","Has Results","Obesity|Complications; Caesarean Section, Wound","Device: Silverlon|Device: Standard Dressing","University of Michigan Von Voigtlander Womens' Hospital, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT01528696"
110,"Reduction of Risk Factors for ACL Re-injuries Using a Novel Biofeedback Approach","Enrolling by invitation","No Results Available","Anterior Cruciate Ligament Injury","Other: Biofeedback Intervention","Virginia Tech - Kevin P. Granata Biomechanics Lab, Blacksburg, Virginia, United States","https://ClinicalTrials.gov/show/NCT03273673"
111,"Incisional Wound Vac in Obese Patients","Withdrawn","No Results Available","Wound Infection|Postoperative Complication","Other: Negative pressure dressing","University of Mississippi Medical Center, Jackson, Mississippi, United States","https://ClinicalTrials.gov/show/NCT00789659"
112,"Mechanisms Underlying Impaired Diabetic Wound Healing","Recruiting","No Results Available","Non-healing Wounds|Diabetes","Other: Blood draw","Comprehensive Wound Care Centers, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT00777712"
113,"Testing the Efficacy of Two Behavioral Interventions at Recalibrating Physician Heuristics in Trauma Triage","Completed","No Results Available","Wounds and Injuries","Behavioral: Night Shift|Behavioral: Graveyard Shift|Behavioral: Educational program|Behavioral: Control","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03279575"
114,"Measuring Wounds Found on the Outside of the Body Surface","Completed","Has Results","External Wounds Measured for Length by Width Using a Ruler","Device: ""gold standard"" LxW manual ruler measurement technique|Device: WMMS ImageReview software's LxW measurement technique|Device: WMMS ImageReview software's Visual External Wound Trace|Device: WMMS ImageReview software's External Wound Trace Overlay","St. Vincent Seton Specialty Hospital, Indianapolis, Indiana, United States|St. Vincent Wound Healing Center, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT01869439"
115,"Real-time Sensorimotor Feedback for Injury Prevention Assessed in Virtual Reality","Recruiting","No Results Available","Injury of Anterior Cruciate Ligament","Other: aNMT biofeedback","Cincinanti Childrens Hospital Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT02933008"
116,"Hypoxia-inducible Factor-1 (HIF-1) Regulated Circulating Angiogenic Cells (CACs) Recruitment in Burn Wound Healing","Terminated","Has Results","Wound Healing|Burns","Genetic: Healthy volunteers|Other: Burn volunteers","Johns Hopkins Bayview Medical Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00796627"
117,"A Randomized Control Trial: Returning to Run After Injury","Completed","No Results Available","Knee Injuries","Other: Control group|Other: Intervention group","Keller Army Community Hospital, West Point, New York, United States","https://ClinicalTrials.gov/show/NCT03486405"
118,"Study to Prevent Cartilage Damage Following Acute Knee Injury.","Completed","No Results Available","Knee Injury","Drug: Anakinra","Duke University Sports Medicine Clinic, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT00332254"
119,"Do Single Use Negative Pressure Dressings Reduce Wound Complications in Obese Women After Cesarean Delivery","Terminated","No Results Available","Obesity|Surgical Site Infections|Wound Complications|Complications; Cesarean Section","Device: Standard Dressing|Device: Negative Pressure Wound Therapy Dressing","Tufts Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02799667"
120,"Outcome of Patients With Mild Head Injury and Presence of an Acute Traumatic Abnormality on CT Scan of Head","Completed","No Results Available","Minor Head Injury","Other: No Intervention","Massachusetts General hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04143347"
121,"Skin Incision Adhesive in Pediatrics","Completed","Has Results","Wounds","Device: Surgiseal","Akron Children's Hospital Emergency Department, Akron, Ohio, United States","https://ClinicalTrials.gov/show/NCT01514396"
122,"Open Label Trial of NanoDOX Hydrogel in Orthopedic Trauma Wounds With and Without Vacuum Assisted Closure Therapy","Withdrawn","No Results Available","Orthopedic Trauma Wounds","Drug: NanoDOX Hydrogel|Other: VAC Alone","Walter Reed National Military Medical Center, Bethesda, Maryland, United States|Univeristy of Missouri, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT01518491"
123,"Mechanisms Regulating Wound Vascularization","Unknown status","No Results Available","Wounds and Injuries","Procedure: Samples will be collected","OSU East Wound Care Center, Columbus, Ohio, United States|OSU Comprehensive Wound Care Center Morehouse, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT00737321"
124,"Trauma-Informed Mindfulness-Based Yoga","Recruiting","No Results Available","Trauma","Behavioral: Trauma-Informed Mindfulness-Based Yoga","Georgia State University, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT03581461"
125,"Negative Pressure Wound Therapy for Prevention of Poststernotomy Infection","Completed","Has Results","Surgical Wound Infection","Device: Prevena Incision Management System|Other: Conventional sterile dry wound dressing","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT02020018"
126,"A Clinical Evaluation of a Honey Impregnated Dressing at Removing Necrotic Tissue From Chronic Wounds","Terminated","No Results Available","Wound Heal|Necrotic Tissue Removal","Device: Honey Impregnated Dressing","Northern Illinois Foot & Ankle Specialists, Lake In The Hills, Illinois, United States","https://ClinicalTrials.gov/show/NCT03412929"
127,"Stories to Educate Patients With Ankle, Foot, and Knee Injuries","Withdrawn","No Results Available","Injury","Behavioral: Narrative|Behavioral: Control","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01810523"
128,"Spinal Cord Injury Virtual Coach RCT","Completed","No Results Available","Spinal Cord Injuries","Behavioral: SCI Virtual Coach","New England Regional SCI Center, Boston University School of Public Health, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02876666"
129,"Teaching Injury Prevention","Completed","No Results Available","Injury Prevention","Behavioral: Education","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT01958099"
130,"Prevention of Wound Complications After Cesarean Delivery in Obese Women Utilizing Negative Pressure Wound Therapy","Terminated","Has Results","Surgical Wound Dehiscence|Wound Infection","Procedure: Negative pressure wound closure|Procedure: Standard wound closure","CAMC Women and Children's Hospital, Charleston, West Virginia, United States|West Virginia University, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT00654641"
131,"Randomized Clinical Trial of Skin Closure With Staples Versus Suture","Completed","Has Results","Wound Infection|Wound Complication","Device: 4-0 monofilament suture|Device: Stainless steel staples","Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT01977612"
132,"Hematopoietic Stem Cell Dysfunction in the Elderly After Severe Injury","Recruiting","No Results Available","Trauma Injury","Other: Bone marrow collection|Other: Blood collection|Other: Clinical data collection","UF Health Shands Hospital at the University of Florida, Gainesville, Florida, United States","https://ClinicalTrials.gov/show/NCT02577731"
133,"V.A.C. VeraFlo™ Instillation Therapy vs V.A.C. Ulta™ Therapy on Biofilm in Chronically Infected Wounds","Completed","Has Results","Lower Extremity Wound Infected|Venous Stasis Ulcers","Device: VAC VeraFlo with Dakins Instillation|Device: VAC Ulta Therapy","St. Luke's-Roosevelt Hospital Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT02009501"
134,"Negative Pressure Wound Therapy to Prevent Wound Complications Following Cesarean Section in High Risk Patients","Recruiting","No Results Available","High Risk Pregnancy|Cesarean Wound Disruption With Postnatal Complication","Device: PICO Single Use Negative Pressure Wound Therapy","Banner University Medical Center Tucson, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT03082664"
135,"Heart Rate Variability in Trauma Patients","Completed","Has Results","Trauma",,"Ryder Trauma Center, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT00795535"
136,"Comparing the Clinical Outcomes of DermACELL® With Integra® Bilayer Wound Matrix","Recruiting","No Results Available","Wounds|Chronic Wounds|Nonmalignant Condition","Device: DermACELL®|Device: Integra®","Medstar Georgetown University Hospital, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT03285698"
137,"VAC NPWT KCI Dressing Study","Withdrawn","No Results Available","Surgical Wound Infection","Device: V.A.C. by K.C.I.","Georgetown University Hospital, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT01366105"
138,"Evaluation of the Effectiveness of Daily Pulse Lavage Therapy in Chronic Wounds","Completed","Has Results","Chronic Wounds","Procedure: Pulse lavage treatment|Other: Dressing changes","Northwestern Memorial Hospital, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01500746"
139,"Feasibility Study of a Novel Device for Chronic Wounds","Completed","Has Results","Ulcer|Wounds and Injuries","Device: SNaP Advanced Wound Care System|Other: SNaP","Stanford University School of Medicine, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT00660049"
